FrageNr.	ThNr.	Sachgebiet	Klasse	BildNr.	ZusFr.	Frage	AKZ1	Antwort1	AKZ2	Antwort2	AKZ3	Antwort3	AKZ4	Antwort4
45	2	1b Technische Merkmale	C1.C1E.C.CE / D1.D1E.D.DE			Sie machen die tägliche Abfahrtskontrolle. Was müssen Sie bei der Druckluftbremsanlage kontrollieren?		Den Leerweg am Bremspedal	X	Ob bei abgestelltem Motor Zischgeräusche aus der Druckluftbremsanlage hörbar sind		Den Leerweg am Handbremshebel		Die Prüfstellung am Bremspedal
46	2	1b Technische Merkmale	C1.C1E.C.CE / D1.D1E.D.DE			Sie machen die tägliche Abfahrtskontrolle. Dabei hören Sie bei abgestelltem Motor Zischgeräusche aus der Druckluftbremsanlage. Wie müssen Sie sich verhalten?		Ich repariere die undichte Stelle provisorisch mit einem farbigen Isolierband	X	Ich darf das Fahrzeug nicht in Betrieb nehmen und verständige den Zulassungsbesitzer		Ich fahre bis zum nächsten regulären Werkstatttermin weiter		Ich fahre weiter und verwende dabei vorwiegend die Verlangsameranlage
47	2	1b Technische Merkmale	C1.C1E.C.CE / D1.D1E.D.DE			Sie überprüfen die Dichtheit der Vorratskreise. Um wieviel darf der Druck in 10 Minuten absinken?		5 % des Abschaltdruckes	X	Nicht merkbar		10 % des Abschaltdruckes		2 % des Abschaltdruckes
48	2	1b Technische Merkmale	C1.C1E.C.CE / D1.D1E.D.DE			Sie überprüfen die Dichtheit des Vorratskreises. Um wie viel darf der Druck in 3 Minuten absinken?		Um 2 % des Abschaltdruckes		Um 10 % des Abschaltdruckes		Um 5 % des Abschaltdruckes	X	Nicht merkbar
49	2	1b Technische Merkmale	C1.C1E.C.CE / D1.D1E.D.DE			Sie fahren mit einem voll beladenen Fahrzeug in einem längeren Gefälle. Woran können Sie erkennen, dass die Motorbremswirkung ausreicht?		Das Fahrzeug verzögert stark ohne mit der Betriebsbremse zu bremsen	X	Die Fahrgeschwindigkeit bleibt ohne zu bremsen annähernd gleich		Der Motor wird nicht zu heiß		Ich muss ständig zusätzlich mitbremsen
50	2	1b Technische Merkmale	C1.C1E.C.CE / D1.D1E.D.DE			Welche Aufgabe hat das Traktionskontrollsystem?		Es verhindert das Zurückrollen des Fahrzeuges beim Anfahren in Steigungen		Es verhindert das Vorwärtsrollen des Fahrzeuges beim Anfahren in Gefällen		Es verhindert das Schieben des Fahrzeuges beim Fahren von Kurven	X	Es erleichtert das Anfahren bei rutschigen Fahrbahnverhältnissen
51	2	1b Technische Merkmale	C1.C1E.C.CE / D1.D1E.D.DE			Welche Aufgabe hat das elektronische Stabilitätssystem "ESP"?		Es verringert immer den Bremsweg		Es verringert die Ansprechzeit der Druckluftbremsanlage	X	Es vermindert die Schleudergefahr bei rutschigen Fahrbahnverhältnissen		Es erleichtert einen Fahrstreifenwechsel
52	2	1b Technische Merkmale	C1.C1E.C.CE / D1.D1E.D.DE			Ihr Fahrzeug ist mit einem Notbremsassistenzsystem ausgestattet. Wann kann dieses System versagen?		Wenn während der elektronischen Regelung die Betriebsbremse betätigt wird	X	Wenn der Abstandssensor verschmutzt ist oder durch die Witterung in seiner Funktion beeinträchtigt wird		Wenn der Abstandssensor vor jeder Abfahrt nicht mechanisch kalibriert wird		Wenn während der elektronischen Regelung das Lenkrad zu fest gehalten wird
53	2	1b Technische Merkmale	C1.C1E.C.CE / D1.D1E.D.DE			Ihr Fahrzeug ist mit einem Abstandsregeltempomat ausgestattet. Was ist der Vorteil dieses Assistenzsystems?		Auffahrunfälle werden auf jeden Fall verhindert		Eine höhere Durchschnittsgeschwindigkeit kann erreicht werden	X	Stressfreieres Fahren und die Gefahr eines Auffahrunfalles wird verringert		Das Lenkrad muss während der Fahrt nicht mehr gehalten werden
54	2	1b Technische Merkmale	C1.C1E.C.CE / D1.D1E.D.DE			Was ist der Unterschied zwischen einem "Tempomat" und einem "Limiter"?	X	Beim "Limiter" muss Gas gegeben werden, um die Geschwindigkeit zu halten. Der "Tempomat" hält die Geschwindigkeit, auch wenn kein Gas gegeben wird		Beim "Tempomat" muss Gas gegeben werden, um die Geschwindigkeit zu halten. Der "Limiter" hält die Geschwindigkeit, auch wenn kein Gas gegeben wird		Keiner. Es handelt sich um zwei unterschiedliche Bezeichnungen für dasselbe Assistenzsystem		Der "Limiter" begrenzt die Lenkzeit. Der "Tempomat" hält die Geschwindigkeit
55	2	1b Technische Merkmale	C1.C1E.C.CE / D1.D1E.D.DE			Was ist ein "ABS"?	X	Ein Anti-Blockier-System		Eine hydraulische Strömungsbremse		Eine automatisch lastabhängige Bremskraftregelung		Eine Anfahrhilfe
56	2	1b Technische Merkmale	C1.C1E.C.CE / D1.D1E.D.DE			Was verstehen Sie unter dem "Abschaltdruck" einer Druckluftbremsanlage?		Der Druck, bei dem der Druckregler den Kompressor in den Lastlauf schaltet		Der Druck, bei dem der Kompressor stehen bleibt	X	Der Druck, ab dem der Kompressor keine Luft in die Vorratsbehälter fördert		Der Druck, bei dem der Druckregler das Abblasen der Druckluft ins Freie abstellt
57	2	1b Technische Merkmale	C1.C1E.C.CE / D1.D1E.D.DE			Was verstehen Sie unter dem "Einschaltdruck" einer Druckluftbremsanlage?		Das ist der Druck, bei dem der Druckregler die vom Kompressor geförderte Luft ins Freie lässt	X	Das ist der Druck, bei dem der Druckregler die vom Kompressor geförderte Luft wieder in die Luftbehälter lässt		Das ist der Druck, bei dem der Druckregler den Kompressor in den Leerlauf schaltet		Das ist der Druck, bei dem der Druckregler das Abblaseventil einschaltet
58	2	1b Technische Merkmale	C1.C1E.C.CE / D1.D1E.D.DE			Was verstehen Sie unter dem "Sicherungsdruck" einer Druckluftbremsanlage?		Das ist jener Druck von 11 - 14 bar, bei dem das Sicherheitsventil im Druckregler öffnet, wenn der Abschaltvorgang versagt		Das ist der Selbststabilisierungsdruck eines Kompressors		Der Druck, bei dem das Fahrzeug sicherheitshalber automatisch abgebremst wird	X	Das ist jener Druck, der bei Ausfall eines Druckluftkreises erhalten bleiben muss
59	2	1b Technische Merkmale	C1.C1E.C.CE / D1.D1E.D.DE			Was verstehen Sie unter dem "Betriebsdruck" einer Druckluftbremsanlage?		Ist jener Druck, der bei einer Bremsung höchstens erreicht werden kann		Ist der Druckunterschied zwischen Einschalt- und Abschaltdruck		Ist ein Druck von 65 % des Abschaltdruckes	X	Ist jener Druck, ab dem mit dem Fahrzeug gefahren werden darf
60	2	1b Technische Merkmale	C1.C1E.C.CE / D1.D1E.D.DE			Was verstehen Sie unter einem "EBS-Bremssystem"?		Eine Bremsanlage, welche die Bremsenergie elektrisch bereitstellt	X	Eine Bremsanlage, die vollständig elektronisch geregelt wird		Eine Druckluftbremse mit Anti-Blockier-System		Eine Druckluftbremse mit Bremsdruckkraftbegrenzer
61	2	1b Technische Merkmale	C1.C1E.C.CE / D1.D1E.D.DE			Was verstehen Sie unter einer "Druckluftbremsanlage"?	X	Eine Bremsanlage, bei der die Bremskraft durch Druckluft erzeugt wird		Eine Bremsanlage, bei der die Bremskraft durch Flüssigkeitsdruck erzeugt wird		Eine Bremsanlage, bei der die Bremskraft durch Unterdruck erzeugt wird		Eine Bremsanlage, bei der die Bremskraft elektrisch erzeugt wird
62	2	1b Technische Merkmale	C1.C1E.C.CE / D1.D1E.D.DE			Was verstehen Sie unter einer ALB-Regelung bei einer Druckluftbremsanlage?		Eine Bremsanlage mit Blockierschutz		Eine Regelung der Bremskraft entsprechend den Witterungsverhältnissen	X	Eine Regelung, welche die Bremskraft an den Achsen nach dem Beladungszustand automatisch anpasst		Eine automatisch selbstnachstellende Bremsanlage
63	2	1b Technische Merkmale	C1.C1E.C.CE / D1.D1E.D.DE			Was ist eine Verlangsameranlage?		Ein System, mit dem der Reifenverschleiß verringert werden kann		Ein System, mit dem der Motorölverbrauch verringert werden kann		Ein System, mit dem ein mitgeführter Anhänger alleine abgebremst werden kann	X	Ein System, mit dem die Geschwindigkeit verschleißfrei vermindert werden kann
64	2	1b Technische Merkmale	C1.C1E.C.CE / D1.D1E.D.DE			Welche Aufgabe hat der Druckregler einer Druckluftbremsanlage?		Er regelt die Fördermenge		Er bestimmt den Sicherungsdruck	X	Er regelt den Betriebsdruck zwischen Ein- und Abschaltdruck		Er regelt den Bremsdruck
65	2	1b Technische Merkmale	C1.C1E.C.CE / D1.D1E.D.DE			Welche Aufgabe hat der Lufttrockner einer Druckluftbremsanlage?	X	Der vom Kompressor geförderten Luft die Feuchtigkeit zu entziehen		Die Luft des Fahrerhauses zu trocknen		Die angesaugte Luft des Motors zu trocknen, um die Leistung zu steigern		Die vom Turbolader komprimierte Luft zu trocknen
66	2	1b Technische Merkmale	C1.C1E.C.CE / D1.D1E.D.DE			Was ist ein "Tristopzylinder" bei einer Druckluftbremsanlage?		Ein Bremszylinder mit drei Zuleitungen		Eine Kombination aus Kolben- und Membranbremszylinder		Ein Bremszylinder mit drei Kolbenstangen	X	Eine Kombination aus Membran- und Federspeicherzylinder
67	2	1b Technische Merkmale	C1.C1E.C.CE / D1.D1E.D.DE			Welche der folgenden Bremsanlagen funktioniert ohne nennenswerten Verschleiß?	X	Hydraulische Strömungsbremse (Retarder)		Feststellbremse		Fahrtwindbremse		Motorkolbenbremse
68	2	1b Technische Merkmale	C1.C1E.C.CE / D1.D1E.D.DE			Welchen Vorteil hat ein elektronisch geregeltes Bremssystem gegenüber einer Druckluftbremse ohne EBS?		Es darf damit schneller gefahren werden		Der Kraftstoffverbrauch wird geringer	X	Die Ansprechzeit der Druckluftbremsanlage ist wesentlich kürzer		Nach Ausfall eines Druckluftbremskreises wirkt die Bremse immer noch auf alle Räder
70	2	1b Technische Merkmale	C1.C1E.C.CE / D1.D1E.D.DE			Welchen Zweck haben Verlangsameranlagen?	X	Sie entlasten und schonen die Betriebsbremsanlage		Sie verhindern das Überhitzen der Reifen		Sie verringern den Kraftstoffverbrauch		Mit ihnen kann man bei Ausfall der Betriebsbremsanlage das Fahrzeug zum Stillstand bringen
71	2	1b Technische Merkmale	C1.C1E.C.CE / D1.D1E.D.DE			Woran erkennen Sie nach dem Starten des Fahrzeugmotors, dass die Druckluftbremsanlage den Betriebsdruck erreicht hat?	X	Die Kontrolllampen erlöschen, der Warnsummer verstummt		Das Manometer zeigt zumindest den Abschaltdruck an		Das Motorwagenbremsventil lässt sich nicht mehr ganz durchdrücken		Es lässt sich ein Gang einlegen
72	2	1b Technische Merkmale	C1.C1E.C.CE / D1.D1E.D.DE			Während der Fahrt leuchtet die ABS-Kontrollleuchte auf. Wie verhalten Sie sich?	X	Haltemöglichkeit aufsuchen, Motor abstellen und nochmals starten; falls die Kontrollleuchte immer noch leuchtet, Werkstätte aufsuchen		Anhalten; die Kontrollleuchte signalisiert, dass nur noch ein Kreis der pneumatischen Bremsanlage funktioniert		Sofort Anhalten; jede Weiterfahrt ist verboten		Weiterfahren; es wird nur zwischendurch angezeigt, dass das ABS noch in Ordnung ist
73	2	1b Technische Merkmale	C1.C1E.C.CE / D1.D1E.D.DE			Wodurch kann es zum Überhitzen der Radbremsen kommen?		Durch oftmaliges Betätigen der Motorstaubremse	X	Durch ständiges Bremsen mit der Betriebsbremsanlage beim Bergabfahren		Durch Einsetzen der Verlangsameranlagen		Durch sehr hohe Temperaturen des Straßenbelages
74	2	1b Technische Merkmale	C1.C1E.C.CE / D1.D1E.D.DE			Können Sie die Wirkung der Motorstaubremse abstufen?		Ja, über den Druckregler		Ja, durch die Fußkraft		Ja, über den Handbremshebel	X	Ja, über die Wahl des Getriebeganges
91	3	1c Optimierung des Kraftstoffverbrauchs	C1.C1E.C.CE / D1.D1E.D.DE			Sie fahren bergauf. Die Anzeige des Drehzahlmessers wandert aus dem grünen Bereich in den roten. Was müssen Sie tun?		Das Schaltgetriebe in den Leerlauf schalten und das Fahrzeug rollen lassen		Auf den nächstniedrigeren Getriebegang zurückschalten		Sofort anhalten und den Motor abstellen	X	Auf einen höheren Getriebegang schalten
92	3	1c Optimierung des Kraftstoffverbrauchs	C1.C1E.C.CE / D1.D1E.D.DE			Wodurch lässt sich Kraftstoff einsparen?	X	Durch frühes Hochschalten		Durch Laufenlassen des Motors vor geschlossenen Bahnschranken		Durch Laufenlassen des Motors beim kurzfristigen Be- und Entladen des Fahrzeuges		Durch häufiges Fahren im oberen Drehzahlbereich des Motors
93	3	1c Optimierung des Kraftstoffverbrauchs	C1.C1E.C.CE / D1.D1E.D.DE			Was führt zu einer Verminderung des Kraftstoffverbrauches?		Fahren mit zu geringem Luftdruck in den Reifen		Fahren mit hoher Motordrehzahl		Fahren im "roten" Bereich des Drehzahlmessers	X	Fahren im "grünen" Bereich des Drehzahlmessers
94	3	1c Optimierung des Kraftstoffverbrauchs	C1.C1E.C.CE / D1.D1E.D.DE			Wo finden Sie Angaben über den optimalen Drehzahlbereich Ihres Fahrzeuges?		Am Ausdruck aus dem digitalen Kontrollgerät		Auf einem Aufkleber an der rechten Fahrzeugseite	X	In der Betriebsanleitung des Fahrzeuges		In der Zulassungsbescheinigung des Fahrzeuges
95	3	1c Optimierung des Kraftstoffverbrauchs	C1.C1E.C.CE / D1.D1E.D.DE			Wozu dient der grüne Bereich des Drehzahlmessers des Motors?	X	Er zeigt den Drehzahlbereich des Motors mit dem geringsten spezifischen Kraftstoffverbrauch unter Volllast und den Drehzahlbereich des Motors mit großem Drehmoment an		Er zeigt den Drehzahlbereich des Motors mit dem niedrigsten Drehmoment an		Er zeigt den Drehzahlbereich des Motors mit dem höchsten Kraftstoffverbrauch an		Er zeigt den Drehzahlbereich des Motors mit dem höchsten Verschleiß an
96	3	1c Optimierung des Kraftstoffverbrauchs	C1.C1E.C.CE / D1.D1E.D.DE			Sie fahren im Ortsgebiet hinter anderen Fahrzeugen. Wie groß sollte ein angemessener Sicherheitsabstand mindestens sein?	X	2 Sekunden		1 Sekunde		50 m		Eine Fahrzeuglänge
97	3	1c Optimierung des Kraftstoffverbrauchs	C1.C1E.C.CE / D1.D1E.D.DE			Sie fahren mit einem 8 m langen Fahrzeug im Freiland. Vor Ihnen fährt ein Sattelkraftfahrzeug. Welchen Mindestabstand müssen Sie einhalten, wenn Sie nicht überholen wollen oder dürfen?		Höchstens den doppelten Anhalteweg		Den erforderlichen Sicherheitsabstand, jedoch höchstens 20 m	X	Den erforderlichen Sicherheitsabstand, jedoch mindestens 50 m		Den erforderlichen Sicherheitsabstand, jedoch höchstens eine Fahrzeuglänge
121	4	1d Risiken im Straßenverkehr vorhersehen	C1.C1E.C.CE / D1.D1E.D.DE			Welchen Sicherheitsabstand haben Sie als Lenker eines 8 m langen Fahrzeuges auf Freilandstraßen einzuhalten, wenn Sie hinter einem Fahrzeug mit größeren Längsabmessungen (z.B. Lkw oder Omnibus) fahren?		25 m		200 m		1 Sekunde - Abstand	X	50 m
122	4	1d Risiken im Straßenverkehr vorhersehen	C1.C1E.C.CE / D1.D1E.D.DE			Sie fahren mit einem Nutzfahrzeug bei Schneefall auf einer Autobahn. Wie sollten Sie sich verhalten?	X	Ich achte auf einen ausreichenden Sicherheitsabstand zu den vor mir fahrenden Fahrzeugen und achte im Verkehrsfunk auf Meldungen über den Straßenzustand auf diesem Autobahnteilstück		Ich wechsle auf den linken Fahrstreifen und überhole alle Fahrzeuge, die vor mir langsam fahren		Ich muss sofort am Pannenstreifen anhalten und Schneeketten auf den Antriebsrädern montieren		Ich muss sofort am Pannenstreifen anhalten und Schneeketten auf den Vorderrädern montieren
123	4	1d Risiken im Straßenverkehr vorhersehen	C1.C1E.C.CE / D1.D1E.D.DE			Sie lenken in einem Gegenverkehrsbereich einer Autobahn ein Nutzfahrzeug. Sie bemerken, dass der rechte vordere Reifen defekt geworden ist. Wie sollten Sie sich verhalten?	X	Ich schalte die Alarmblinkanlage ein, bremse ab und fahre in die nächste Pannenbucht		Ich halte auf dem ersten Fahrstreifen der Autobahn an		Ich fahre solang weiter, bis die Autobahnbaustelle endet. Danach halte ich am Pannenstreifen an		Ich fahre solang weiter, bis die nächste Autobahnausfahrt kommt. Dort fahre ich von der Autobahn ab und wechsle dann den Reifen
124	4	1d Risiken im Straßenverkehr vorhersehen	C1.C1E.C.CE / D1.D1E.D.DE			Sie befahren mit einem Nutzfahrzeug ein schneebedecktes Gefälle. Das Gefälle ist gestreut und hat eine Neigung von 15 %. Benötigt das Nutzfahrzeug Schneeketten?		Nein	X	Ja, auf den Antriebsrädern und auf den gelenkten Vorderrädern		Ja, auf allen Rädern		Ja, aber nur auf den gelenkten Vorderrädern
125	4	1d Risiken im Straßenverkehr vorhersehen	C1.C1E.C.CE / D1.D1E.D.DE			Sie befahren mit einem Nutzfahrzeug ein schneebedecktes Gefälle. Das Gefälle ist gestreut und hat eine Neigung von 15 %. Mit welchen Gefahren müssen Sie rechnen, wenn Sie versuchen, das Gefälle ohne Schneeketten zu bewältigen?	X	Das Fahrzeug könnte ins Rutschen kommen und nicht mehr lenkbar werden		Der Motor könnte überlastet werden		Die Bremsen könnten überhitzen		Das Schaltgetriebe könnte überlastet werden
126	4	1d Risiken im Straßenverkehr vorhersehen	C1.C1E.C.CE / D1.D1E.D.DE			Welche Tätigkeiten können beim Lenken eines Fahrzeuges stark ablenken?	X	Das Rauchen von Zigaretten, Essen von Speisen, Trinken		Die Bedienung eines Abstands-Tempomaten		Das Einschalten der Scheibenwischer		Das auf- oder abblenden des Fernlichts
151	5	1e Verkehrssicherheit und toter Winkel - LKW	C1.C1E.C.CE			Sie lenken einen LKW der Fahrzeugklasse N3. In welchem Bereich ist die Gefahr, durch "Tote Winkel" im Sichtbereich andere Verkehrsteilnehmer zu übersehen, besonders groß?	X	Unmittelbar vor der Windschutzscheibe, hinter und seitlich rechts neben dem Fahrzeug		Nur seitlich links neben dem Fahrzeug		Nur seitlich rechts neben dem Fahrzeug		Nur hinter dem Fahrzeug
152	5	1e Verkehrssicherheit und toter Winkel - LKW	C1.C1E.C.CE			Bei welchen Fahrmanövern müssen Sie beim Lenken eines LKW´s die von "Toten Winkeln" in den Sichtbereichen ausgehenden Gefahren besonders berücksichtigen?	X	Beim Einbiegen nach rechts, Rückwärtsfahren und Überholen		Beim Einbiegen nach links		Nur beim Einbiegen nach rechts		Nur beim Überholen
171	6	1f Ladungssicherung - LKW	C1.C1E.C.CE			Wovon hängt die Größe des Reibbeiwertes zwischen Ladung und Ladefläche grundsätzlich ab?		Von der Gewichtskraft der Ladung		Von der Fahrgeschwindigkeit	X	Von der Rutschfestigkeit der Ladefläche und des Ladegutes		Von der Größe der Ladefläche
172	6	1f Ladungssicherung - LKW	C1.C1E.C.CE			Welche Ladungen müssen am LKW gesichert werden?	X	Alle		Nur solche, die verrutschen können		Nur solche, die leicht sind		Nur solche, die schwer sind
